Words	raw	percent	mean_valence	sd_valence	mean_degree	sd_degree
counteracts global warming	1	1.28	3	NA	3	NA
Countries agreement	1	1.28	-3	NA	2	NA
Countries fighting	1	1.28	-3	NA	3	NA
countries must agree	2	2.56	0	0	2.5	2.12132034355964
Countries not agree	1	1.28	-3	NA	2	NA
Countries United	1	1.28	-3	NA	5	NA
Country Commitments	1	1.28	-2	NA	1	NA
create air pollution	1	1.28	-2	NA	2	NA
creater gets praise	1	1.28	1	NA	1	NA
Creates additional problems	1	1.28	-3	NA	1	NA
creates demand	1	1.28	3	NA	2	NA
creating positive image	1	1.28	2	NA	3	NA
crop damage	1	1.28	-3	NA	2	NA
crop destruction	1	1.28	-1	NA	2	NA
culpability	1	1.28	-2	NA	1	NA
damage	1	1.28	-3	NA	2	NA
Damage Aquatic Life	1	1.28	-2	NA	4	NA
damage atmosphere	1	1.28	-3	NA	1	NA
Damage of infrastructure	1	1.28	-1	NA	1	NA
damage to crops	1	1.28	-3	NA	2	NA
damage to flora	1	1.28	-3	NA	1	NA
Dangerous Game	1	1.28	-3	NA	2	NA
Data	1	1.28	-1	NA	1	NA
Death	1	1.28	-3	NA	4	NA
Death of Wildlife	1	1.28	-3	NA	1	NA
Decrease damage	1	1.28	3	NA	3	NA
Decrease in events	1	1.28	3	NA	1	NA
delivery method	1	1.28	-3	NA	1	NA
democracy	1	1.28	3	NA	5	NA
deployed constantly	1	1.28	-2	NA	1	NA
deployed for decades	1	1.28	-1	NA	1	NA
Deployed for years	1	1.28	-1	NA	1	NA
deployed immediately	1	1.28	3	NA	1	NA
deployed quckily	1	1.28	1	NA	2	NA
deployed quickly	1	1.28	3	NA	3	NA
Deployment is fast	1	1.28	3	NA	1	NA
deployment speed	1	1.28	3	NA	1	NA
desire to change	2	2.56	2.5	0.707106781186548	3	2.82842712474619
destoying farms	1	1.28	-2	NA	1	NA
Destrution of ecoystems	1	1.28	-3	NA	4	NA
determined to succeed	1	1.28	3	NA	1	NA
different impact	1	1.28	0	NA	2	NA
different opinions	1	1.28	-2	NA	1	NA
difficulty to understand	1	1.28	1	NA	2	NA
Disagreement of countries	1	1.28	-1	NA	2	NA
displaced peoples	1	1.28	-3	NA	4	NA
dispute over resources	1	1.28	-3	NA	3	NA
Distraction	1	1.28	-3	NA	1	NA
does it work?	1	1.28	-3	NA	4	NA
Doesn't encourage innovation	1	1.28	-1	NA	2	NA
doesn't fix	1	1.28	-1	NA	1	NA
doesn't help seas	1	1.28	-3	NA	2	NA
doesn't solve problem	3	3.85	-2.3333333333333335	0.577350269189626	1	0
Doesn't stop CC	1	1.28	-2	NA	1	NA
doesn't warm earth	1	1.28	1	NA	1	NA
doesn't warm sea	1	1.28	1	NA	1	NA
doesnt fix everything	1	1.28	-1	NA	4	NA
Doesnt Tackle Issues	1	1.28	-3	NA	5	NA
Doing something	1	1.28	3	NA	1	NA
Dominant Nation	1	1.28	-3	NA	1	NA
Dramatic Emergency Solution	1	1.28	-3	NA	1	NA
Dramatic Temperature Rise	1	1.28	-3	NA	1	NA
durability	1	1.28	0	NA	3	NA
Duration and lifespan	1	1.28	-1	NA	2	NA
Early Use	1	1.28	1	NA	23	NA
earth temp reduction	1	1.28	3	NA	3	NA
Ease	1	1.28	1	NA	1	NA
Easier to fund	1	1.28	3	NA	2	NA
easy	1	1.28	3	NA	1	NA
Easy	1	1.28	3	NA	23	NA
easy solution	1	1.28	0	NA	7	NA
easy to get	1	1.28	2	NA	1	NA
Ecological issues	1	1.28	-2	NA	9	NA
Economic Impact	1	1.28	2	NA	1	NA
economic opportunity	1	1.28	2	NA	2	NA
Ecosystem protection	1	1.28	2	NA	1	NA
Effect on Oceans	1	1.28	-2	NA	4	NA
Effect planet	1	1.28	0	NA	1	NA
effective	1	1.28	2	NA	4	NA
Effective 1 year	1	1.28	2	NA	1	NA
Effective Electric Transport	1	1.28	3	NA	2	NA
Effective Globally	1	1.28	0	NA	3	NA
effective technique	1	1.28	1	NA	1	NA
Effective technique	2	2.56	2.5	0.707106781186548	2	1.4142135623731
Effectiveness	1	1.28	3	NA	1	NA
effectiveness could vary	1	1.28	-1	NA	1	NA
effects of SAI	1	1.28	0	NA	1	NA
Effects on fertility	1	1.28	0	NA	1	NA
Effects seen quickly	1	1.28	3	NA	1	NA
effects start soon	1	1.28	3	NA	2	NA
Efficacy	1	1.28	-2	NA	1	NA
Elongated timeline	1	1.28	-2	NA	1	NA
Emergency only	1	1.28	1	NA	21	NA
emergency scenario only	1	1.28	0	NA	3	NA
emergency solution	2	2.56	-0.5	0.707106781186548	2	0
Emergency solution	1	1.28	0	NA	2	NA
Emergency Solution Only	1	1.28	-1	NA	1	NA
encourage collaboration	1	1.28	3	NA	2	NA
end of conflicts?	1	1.28	2	NA	3	NA
enough testing?	1	1.28	0	NA	1	NA
Enviromental Effect	1	1.28	-1	NA	1	NA
Enviromental Issues	1	1.28	2	NA	2	NA
environmental benefits	1	1.28	2	NA	1	NA
environmental costs	1	1.28	-1	NA	2	NA
environmental damage	1	1.28	-3	NA	2	NA
Environmental damage	1	1.28	-3	NA	3	NA
environmental impact	1	1.28	-2	NA	1	NA
Environmental Repercussions	1	1.28	-3	NA	6	NA
Environmental Side Effects	1	1.28	-3	NA	5	NA
Environmentally Based	1	1.28	1	NA	1	NA
Essentially polluting more	1	1.28	-3	NA	1	NA
Everyone must cooperate	1	1.28	-1	NA	2	NA
everyone won't agree	1	1.28	-2	NA	1	NA
Evidence It Works	1	1.28	3	NA	2	NA
evidence of effect	1	1.28	0	NA	2	NA
excutive team	1	1.28	1	NA	8	NA
existing technology	1	1.28	1	NA	3	NA
expense and responsibility	1	1.28	-2	NA	1	NA
expensive	3	3.85	-2	0	3.3333333333333335	3.21455025366432
Expensive	1	1.28	-2	NA	1	NA
experimenting on nature	1	1.28	-1	NA	1	NA
experts not trusted	1	1.28	0	NA	6	NA
Experts targeted	1	1.28	-2	NA	1	NA
Extends planets life	1	1.28	3	NA	2	NA
Extra pollution	1	1.28	-2	NA	1	NA
Extraordinary rain	1	1.28	-2	NA	28	NA
Extraordinary rain occurance	1	1.28	-3	NA	3	NA
extraordinary rain occurances	1	1.28	-2	NA	1	NA
Extreme campaigners	1	1.28	-2	NA	5	NA
extreme weather risks	1	1.28	-3	NA	2	NA
Faciliation	1	1.28	-2	NA	1	NA
fairly low cost	1	1.28	2	NA	2	NA
faith in politics	1	1.28	3	NA	3	NA
Fake Global Warming	1	1.28	0	NA	1	NA
fake news	1	1.28	-3	NA	3	NA
false hope	1	1.28	-2	NA	2	NA
Farm land	1	1.28	0	NA	2	NA
Fast deployment	1	1.28	2	NA	1	NA
fear	1	1.28	-3	NA	2	NA
Fear of Misuse	1	1.28	-3	NA	9	NA
Fear of unknown	1	1.28	-1	NA	2	NA
fearful	1	1.28	-3	NA	4	NA
feasible + effective	1	1.28	1	NA	4	NA
Feasible and effective	1	1.28	2	NA	1	NA
feasible technique	1	1.28	1	NA	2	NA
Feasible technique	1	1.28	2	NA	1	NA
feasible to deploy	1	1.28	2	NA	4	NA
Feel good factor	1	1.28	2	NA	2	NA
fewer deaths	1	1.28	3	NA	3	NA
fewer droughts	1	1.28	3	NA	2	NA
fewer floods	1	1.28	3	NA	2	NA
financial cost	1	1.28	-1	NA	4	NA
financial help	1	1.28	-1	NA	2	NA
Financial impact	1	1.28	0	NA	3	NA
financial implications	1	1.28	-2	NA	1	NA
Financial implications	1	1.28	-1	NA	2	NA
firms doing good	1	1.28	2	NA	1	NA
Flooding	1	1.28	-2	NA	5	NA
floods	1	1.28	-3	NA	1	NA
Food Growth Impact	1	1.28	-2	NA	2	NA
Food shortage	1	1.28	-1	NA	3	NA
food shortages	1	1.28	-3	NA	2	NA
Forced action	1	1.28	-2	NA	1	NA
frustrated	1	1.28	-3	NA	3	NA
full uptake	1	1.28	-3	NA	6	NA
funding	1	1.28	0	NA	8	NA
Funding	3	3.85	-1.6666666666666667	0.577350269189626	1.6666666666666667	1.15470053837925
Funding needed	1	1.28	0	NA	3	NA
Funding Origin	1	1.28	-2	NA	1	NA
Further research	1	1.28	0	NA	5	NA
Further research needed	1	1.28	1	NA	4	NA
further thinking	1	1.28	0	NA	2	NA
future	1	1.28	3	NA	1	NA
future benefits	1	1.28	1	NA	1	NA
Future Generations Safe?	1	1.28	3	NA	1	NA
future harm	1	1.28	-2	NA	3	NA
G7 Countries	1	1.28	3	NA	2	NA
general feedback	1	1.28	0	NA	1	NA
general public opinion	1	1.28	1	NA	5	NA
Generational behaviour	1	1.28	3	NA	4	NA
Generations	1	1.28	2	NA	1	NA
Geopolitical conflict	1	1.28	-3	NA	3	NA
geopolitical harmony	1	1.28	-1	NA	1	NA
Gives me hope	1	1.28	1	NA	2	NA
Global	1	1.28	1	NA	1	NA
global agreement	2	2.56	-1.5	2.12132034355964	4	1.4142135623731
global buy-in unlikely	1	1.28	-2	NA	2	NA
Global Cooperation	1	1.28	-2	NA	3	NA
Global disagreements	1	1.28	-1	NA	2	NA
Global Effect	1	1.28	-1	NA	2	NA
Global poverty	1	1.28	-2	NA	5	NA
Global supply chains	1	1.28	0	NA	3	NA
Global Temperature Reduction	1	1.28	3	NA	3	NA
Global Tension	1	1.28	-2	NA	2	NA
global viability	1	1.28	2	NA	3	NA
Global War	1	1.28	-3	NA	6	NA
global warming	1	1.28	2	NA	1	NA
Global warming	1	1.28	-3	NA	4	NA
Global Warming Solution	1	1.28	1	NA	1	NA
God Complex	1	1.28	-3	NA	2	NA
good health	1	1.28	3	NA	2	NA
Good outcomes	1	1.28	0	NA	3	NA
Goverment buyin	1	1.28	1	NA	1	NA
Governance?	1	1.28	-2	NA	1	NA
Government resentment	1	1.28	-3	NA	3	NA
Great Future	1	1.28	1	NA	2	NA
greater good	1	1.28	2	NA	5	NA
greed	1	1.28	-2	NA	1	NA
Green credentials	1	1.28	1	NA	1	NA
Greener Technology	1	1.28	3	NA	5	NA
Greenwashing	1	1.28	-3	NA	1	NA
Growth over climate	1	1.28	-2	NA	1	NA
Happy people	1	1.28	3	NA	2	NA
Harm food supplies	1	1.28	-3	NA	2	NA
Harm on public	1	1.28	-2	NA	2	NA
Harm to ecosystems	1	1.28	-3	NA	7	NA
harmful to birds	1	1.28	-3	NA	1	NA
Harness don't reflect	1	1.28	3	NA	1	NA
Hastened architecture destruction	1	1.28	-3	NA	1	NA
health	1	1.28	-2	NA	3	NA
health risk	1	1.28	-3	NA	1	NA
health risks	1	1.28	-3	NA	4	NA
Health Risks	1	1.28	-1	NA	1	NA
Healthier planet	1	1.28	3	NA	6	NA
heat stroke prevention	1	1.28	1	NA	2	NA
Help Wildlife	1	1.28	3	NA	4	NA
Helping the planet	1	1.28	3	NA	2	NA
helping wildlife	1	1.28	2	NA	3	NA
helps climate change	2	2.56	2.5	0.707106781186548	2	1.4142135623731
Helps Reduce GlobalWarming	1	1.28	2	NA	7	NA
Helps Reflect Sunlight	1	1.28	2	NA	5	NA
helps with draught	1	1.28	2	NA	1	NA
high acidity	1	1.28	-2	NA	2	NA
high CO2	1	1.28	-2	NA	2	NA
Higher Food Quality	1	1.28	3	NA	1	NA
Higher Poverty Rates	1	1.28	-3	NA	3	NA
highly effective	1	1.28	3	NA	1	NA
Historical actions	1	1.28	-3	NA	1	NA
Homes destroyed	1	1.28	-3	NA	1	NA
hope	3	3.85	2	1	1.6666666666666667	0.577350269189626
Hope	1	1.28	2	NA	1	NA
hope for future	1	1.28	2	NA	3	NA
Hope for future	1	1.28	1	NA	1	NA
hopeful	1	1.28	3	NA	5	NA
Hopeful	1	1.28	1	NA	1	NA
hospital admissions reduced	1	1.28	1	NA	1	NA
How	1	1.28	2	NA	2	NA
human action reduced	1	1.28	-2	NA	1	NA
Human benefit	1	1.28	2	NA	1	NA
human cost	1	1.28	-2	NA	4	NA
Human factor	1	1.28	0	NA	1	NA
Human Side Effects	1	1.28	-3	NA	5	NA
humanity coming together	1	1.28	3	NA	6	NA
Ice caps maintained	1	1.28	3	NA	4	NA
Iceburgs Melting	1	1.28	-1	NA	1	NA
idea abandonment	1	1.28	-3	NA	5	NA
Ignore climate targets	1	1.28	-1	NA	1	NA
ignores main cause	1	1.28	-2	NA	2	NA
Ill health	1	1.28	-3	NA	4	NA
immediate effcet	1	1.28	2	NA	2	NA
Immediate Impact	1	1.28	3	NA	2	NA
immediate peril	1	1.28	-3	NA	1	NA
Immediate solution	1	1.28	1	NA	7	NA
Impact on poor	1	1.28	-3	NA	4	NA
Impact on rich	1	1.28	0	NA	3	NA
Impact wildlife nature?	1	1.28	-2	NA	1	NA
Impacting all countries	1	1.28	0	NA	11	NA
Implemented	1	1.28	0	NA	2	NA
Implemented internationally	1	1.28	2	NA	4	NA
improve global health	1	1.28	2	NA	1	NA
Improve lives	1	1.28	2	NA	1	NA
improved health	1	1.28	2	NA	2	NA
Inability to grow	1	1.28	-3	NA	3	NA
incomplete	1	1.28	-1	NA	2	NA
increase deaths	1	1.28	-3	NA	3	NA
Increase in crime	1	1.28	-2	NA	1	NA
Increase in deaths	1	1.28	-2	NA	2	NA
Increase in Icecaps	1	1.28	3	NA	2	NA
increase in migration	1	1.28	-2	NA	4	NA
increase plant production	1	1.28	3	NA	1	NA
increase public awareness	1	1.28	2	NA	1	NA
increased anxiety	1	1.28	-1	NA	2	NA
increased flood risk	1	1.28	-2	NA	3	NA
increased oceanic acidity	1	1.28	-3	NA	3	NA
Increases rain possibility	1	1.28	0	NA	3	NA
Indecisiveness	1	1.28	-1	NA	1	NA
individual responsibility	1	1.28	0	NA	2	NA
ineffective	1	1.28	-2	NA	5	NA
inequality	1	1.28	-3	NA	3	NA
inexpensive	1	1.28	1	NA	1	NA
infrastructure damage	1	1.28	-2	NA	1	NA
inherent cause	1	1.28	-3	NA	1	NA
inherent causes	1	1.28	-3	NA	1	NA
Inherent climate change	1	1.28	-2	NA	3	NA
initiation of SAI	1	1.28	0	NA	1	NA
innovative	2	2.56	2	1.4142135623731	1.5	0.707106781186548
innovative future solutions	1	1.28	2	NA	3	NA
innovative idea	1	1.28	2	NA	2	NA
Inspire Other Ideas	1	1.28	1	NA	5	NA
instability	1	1.28	-3	NA	3	NA
Institutions change	1	1.28	-3	NA	5	NA
interfering with nature	1	1.28	-2	NA	3	NA
Interfering with nature	1	1.28	-2	NA	5	NA
Interim solution	1	1.28	-3	NA	1	NA
International agreement	1	1.28	-1	NA	3	NA
International agreements	1	1.28	-3	NA	1	NA
introduction of SAI	1	1.28	0	NA	2	NA
Invention of Tech	1	1.28	3	NA	2	NA
investigation climate change	1	1.28	0	NA	1	NA
Involvement	1	1.28	0	NA	6	NA
Is it feasible	1	1.28	0	NA	4	NA
Job Creation	1	1.28	2	NA	2	NA
Jobs	1	1.28	3	NA	2	NA
killing ocean animales	1	1.28	-3	NA	1	NA
Knowledge	1	1.28	3	NA	3	NA
Lack of consensus	1	1.28	-1	NA	4	NA
lack of credibility	1	1.28	-3	NA	1	NA
lack of education	1	1.28	-1	NA	1	NA
Lack of Funding	1	1.28	-3	NA	2	NA
Lack of Research?	1	1.28	-1	NA	2	NA
Lack of understanding	1	1.28	-3	NA	5	NA
Last chance	1	1.28	1	NA	1	NA
Lead Time	1	1.28	3	NA	1	NA
lead to increase	1	1.28	-3	NA	1	NA
Leadership	1	1.28	0	NA	3	NA
learning	1	1.28	3	NA	3	NA
Length of time	1	1.28	-2	NA	1	NA
length of use	1	1.28	-3	NA	5	NA
less climate action	1	1.28	-2	NA	2	NA
less costal protection	1	1.28	-2	NA	1	NA
less environmental change	1	1.28	2	NA	7	NA
less extreme weather	2	2.56	2.5	0.707106781186548	2.5	2.12132034355964
less flooding	1	1.28	1	NA	1	NA
Less global warming	1	1.28	3	NA	1	NA
less human burden	1	1.28	1	NA	1	NA
less impactful	1	1.28	2	NA	4	NA
less life impact	1	1.28	1	NA	2	NA
Less panic worldwide	1	1.28	3	NA	2	NA
less prevention costs	1	1.28	1	NA	2	NA
lessens economic burden	1	1.28	0	NA	2	NA
lessens storm erosion	1	1.28	2	NA	2	NA
Lifestyle Changes Needed	1	1.28	-2	NA	2	NA
Lifestyle to continue	1	1.28	1	NA	2	NA
limited duration	1	1.28	-3	NA	1	NA
limited effect	1	1.28	-3	NA	1	NA
Limited effect	1	1.28	-2	NA	1	NA
Limited Options	1	1.28	1	NA	1	NA
Limited temperature effectiveness	1	1.28	0	NA	3	NA
Limits rising temps	1	1.28	3	NA	4	NA
Little countries ignored	1	1.28	-2	NA	1	NA
Localised cooling	1	1.28	-2	NA	1	NA
Long term	2	2.56	-3	0	1.5	0.707106781186548
Long Term	1	1.28	-1	NA	23	NA
long term benefit	1	1.28	2	NA	3	NA
long term commitment	2	2.56	-1	0	1.5	0.707106781186548
Long term commitment	1	1.28	-2	NA	5	NA
Long Term Commitment	1	1.28	-3	NA	1	NA
long term committment	1	1.28	-1	NA	4	NA
Long term deployment	1	1.28	-3	NA	1	NA
long term effects	3	3.85	-0.6666666666666666	1.15470053837925	1.6666666666666667	0.577350269189626
long term plan	1	1.28	-2	NA	2	NA
Long term projects	1	1.28	2	NA	1	NA
long term requirement	1	1.28	-1	NA	3	NA
long term solution	1	1.28	3	NA	5	NA
longer-term problems persist	1	1.28	-3	NA	1	NA
Longer lasting Planet	1	1.28	3	NA	2	NA
longevity of effects	1	1.28	0	NA	1	NA
longterm committment	1	1.28	-2	NA	1	NA
Loss of diversity	1	1.28	-3	NA	5	NA
Loss of habitats	1	1.28	-3	NA	5	NA
low cost	4	5.13	2.5	0.577350269189626	1.25	0.5
Low cost	3	3.85	2.3333333333333335	0.577350269189626	12	12.1655250605964
Low Cost	2	2.56	2.5	0.707106781186548	3	0
low cost technology	1	1.28	1	NA	2	NA
low costs	2	2.56	1.5	0.707106781186548	1.5	0.707106781186548
Low costs	2	2.56	2	1.4142135623731	1	0
low relative cost	1	1.28	2	NA	2	NA
Low Temperatures	1	1.28	1	NA	2	NA
lower costs	1	1.28	3	NA	2	NA
Lower Sea Levels	1	1.28	3	NA	1	NA
lower temperatures	1	1.28	1	NA	5	NA
lung issues	1	1.28	-3	NA	1	NA
magic solution	1	1.28	0	NA	7	NA
main cause remains	1	1.28	-3	NA	1	NA
Maintain biodiversity	1	1.28	3	NA	2	NA
make it worse	1	1.28	-3	NA	1	NA
makes things better	1	1.28	2	NA	1	NA
makes things worse	1	1.28	-3	NA	1	NA
Making a change	1	1.28	3	NA	7	NA
manufacturing tech	1	1.28	0	NA	1	NA
Mass fatalities	1	1.28	-3	NA	2	NA
Mass Starvation	1	1.28	-3	NA	1	NA
May be ineffective	1	1.28	-3	NA	4	NA
may impact environment	1	1.28	-2	NA	4	NA
May Not Work	1	1.28	-3	NA	1	NA
me be unpopular	1	1.28	-1	NA	2	NA
