_identifier,_location,english,german,french,spanish,chinese,ukrainian,russian
cd_04,connector dialog (cd),Direction of Connection,Richtung der Verbindung,Direction de la connexion,Dirección de la conexión,联系方向,,
cd_05button,connector dialog (cd),Concepts influence each other,Konzepte beeinflussen sich gegenseitig,Les concepts s'influencent mutuellement,Conceptos se influyen mutualmente,概念互相影响,,
cd_06button,connector dialog (cd),Concepts influence each other in a one-sided direction. Press button multiple times to change direction,"Konzepte beeinflussen sich nur in eine Richtung. Klicken Sie mehrfach auf den Button, um die Richtung der Beeinflussung zu ?ndern",Les concepts ne s'influencent que dans une seule direction. Cliquez plusieurs fois sur le bouton pour modifier la direction de l'influence.,La influencia entre los conceptos es en una sola direccion (unidireccional). Haga clic en el botón varias veces para cambiar la dirección,概念之间的影响是单向的。多次点击按钮来更改方向。,,
cd_07buttonDelete,connector dialog (cd),Delete Connector,Verbindung l?schen,Supprimer le lien,Borrar conexión,删除联系,,
popSave_01emptyNodes,popup save button (popSave),Please return to your Cognitive-Affective Map and add text to the empty concepts.,Bitte kehren Sie zu Ihrer Cognitive-Affective Map zurück und erg?nzen sie Text zu den leeren Konzepten.,Veuillez retourner à votre Cognitive Affective Map et ajouter du texte aux concepts vides.,Por favor regrese a su Cognitive-Affective Map y agregue texto a los conceptos aún vacíos.,请返回到您的 Cognitive-Affective Map 并添加文本到空白概念。,,
popSave_02emptyNodes,popup save button (popSave), concept(s) are empty., Konzept(e) sind leer., Le(s) concept(s) est/sont vide(s)., concepto(s) está(n) vacío(s).,概念（一个或多个）是空白的。,,
popSave_01numNodes,popup save button (popSave),Please return to your Cognitive-Affective Map and add additional concepts to it.,Bitte kehren Sie zu Ihrer Cognitive Affective Map zurück und fügen Sie weitere Konzepte hinzu.,Veuillez retourner à votre Cognitive Affective Map et y ajouter d'autres concepts.,Por favor regrese a su Cognitive-Affective Map y a?ada conceptos adicionales.,请返回到您的 Cognitive-Affective Map 并添加更多的概念。,,
popSave_02numNodes,popup save button (popSave),Please draw at least ,Bitte zeichnen Sie mindestens ,Veuillez dessiner au moins ,Por favor traze por lo menos ,请至少绘制,,
popSave_03numNodes,popup save button (popSave), concepts., Konzepte., concepts., conceptos.,个概念,,
popSave_01unconnectedA,popup save button (popSave),Please return to your Cognitive-Affective Map and add additional connections to it.,Bitte kehren Sie zu Ihrer Cognitive-Affective Map zurück und fügen Sie weitere Verbindungen hinzu.,Veuillez retourner à votre Cognitive-Affective Map et ajouter d'autres connexions.,Por favor regrese a su Cognitive-Affective Map y a?ada conecciones adicionales.,请返回到您的 Cognitive-Affective Map 并添加更多的联系。,,
popSave_02unconnectedA,popup save button (popSave),Please connect all your concepts within your Cognitive-Affective Map.,Bitte verbinden Sie alle Ihre Konzepte innerhalb Ihrer Cognitive-Affective Map.,Veuillez connecter tous vos concepts de votre Cognitive Affective Map.,Por favor conecte todos los conceptos dentro de su Cognitive-Affective Map.,请连接您的 Cognitive-Affective Map 里的所有概念。,,
popSave_01unconnectedB,popup save button (popSave),Please return to your Cognitive-Affective Map and add additional connections to it.,Bitte kehren Sie zu Ihrer Cognitive-Affective Map zurück und fügen Sie weitere Verbindungen hinzu.,Veuillez retourner à votre Cognitive-Affective Map et ajouter d'autres connexions.,Por favor regrese a su Cognitive-Affective Map y a?ada conecciones adicionales.,请返回到您的 Cognitive-Affective Map 并添加更多的联系。,,
popSave_02unconnectedB,popup save button (popSave),Please connect all your ,Bitte verbinden Sie alle Ihre,Veuillez connecter tous vos,Por favor conecte todos sus,请连接您的所有,,
popSave_03unconnectedB,popup save button (popSave), distinct groups of concepts within your Cognitive-Affective Map., verschiedene Gruppen von Konzepten innerhalb Ihrer Cognitive-Affective Map.,différents groupes de concepts de votre Cognitive Affective Map., distintos grupos de conceptos dentro de su Cognitive-Affective Map.,个不同组于您的 Cognitive-Affective Map 中。,,
popSave_01savedData,popup save button (popSave),Your CAM data has been sent to the sever. Thank you for participating! You will be forwarded to the end or the final part of the study.,Ihre CAM-Daten wurden an den Sever gesendet. Wir danken Ihnen für Ihre Teilnahme! Sie werden zum Ende oder zum letzten Teil der Studie weitergeleitet.,Vos données de la CAM ont été envoyées au serveur. Nous vous remercions de votre participation ! Vous allez être redirigé vers la fin ou la dernière partie de l'étude.,Los datos de su Cognitive-Affective Map se han mandado al servidor. Gracias por participación! Usted será llevado al final de la sesión o a su última parte.,您的 CAM 数据已被发送至服务器。感谢您的参与！您将被引导至研究的结束或最后部分。,,
popSave_01notSavedData,popup save button (popSave),You would have send the CAM data successfully to a sever. To save permanently your data please use our administrative panel or host the C.A.M.E.L. software on your own server.,"Sie h?tten die CAM-Daten erfolgreich an einen Server gesendet. Um Ihre Daten dauerhaft zu speichern, verwenden Sie bitte unser Administrationspanel oder hosten Sie die C.A.M.E.L. Software auf Ihrem eigenen Server.","Vous avez envoyé avec succès vos données CAM à un serveur. Pour sauvegarder vos données de manière permanente, veuillez utiliser notre panneau d'administration ou héberger le logiciel C.A.M.E.L. sur votre propre serveur.","Usted habría mandado los datos de su CAM al servidor con éxito. Para guardar sus datos de forma permanente, por favor use nuestro panel de administración o aloje C.A.M.E.L. en su propio servidor.",您会成功发送 CAM 数据到一个服务器。为了永久保存您的数据，请使用我们的管理面板或将C.A.M.E.L.软件托管在您自己的服务器主机。,,
ndw_01tooManyWords,nodes dialog warnings (ndw),"Instead, please draw several connected concepts.",Zeichnen Sie stattdessen bitte mehrere zusammenh?ngende Konzepte.,Veuillez plut?t dessiner plusieurs concepts cohérents.,"En cambio, por favor traze varios conceptos conectados.",作为替代，请绘制几个相关联的概念。,,
ndw_02tooManyWords,nodes dialog warnings (ndw),Please do not use more than ,Bitte verwenden Sie nicht mehr als ,N'utilisez pas plus de ,Por favor no use más que ,请不要使用多于,,
ndw_03tooManyWords,nodes dialog warnings (ndw), words for a single concept!, W?rter für ein einzelnes Konzept!, mots pour un seul concept !, palabras para un solo concepto!,个词语于一个概念中！,,
ndw_03tooManyWordsA,nodes dialog warnings (ndw), characters for a single concept!, Zeichen für ein einzelnes Konzept!, des caractères pour un seul concept !, caracteres para un solo concepto!,个字符于一个概念中！,,
ndw_01predefinedConcept,nodes dialog warnings (ndw),"Instead, please choose other concepts.",W?hlen Sie stattdessen bitte andere Konzepte.,Veuillez choisir d'autres concepts à la place.,"En cambio, por favor elíja conceptos diferentes.",作为替代，请选择其他概念。,,
ndw_02predefinedConcept,nodes dialog warnings (ndw),You cannot change the content of predefined concepts.,Sie k?nnen den Inhalt der vordefinierten Konzepte nicht ?ndern.,Vous ne pouvez pas modifier le contenu des concepts prédéfinis.,No se pueden cambiar los conceptos predefinidos.,您不能更改预定义概念的内容。,,
ndw_01ambivalentConcept,nodes dialog warnings (ndw),"To change the ambivalent concept again, please uncheck the box.","Um das ambivalente Konzept wieder zu ?ndern, deaktivieren Sie bitte das Kontrollk?stchen.","Pour modifier à nouveau le concept ambivalent, veuillez désactiver la case à cocher.","Para cambiar el concepto ambivalente otra vez, desmarque la casilla.",为了再次改变矛盾概念，请取消勾选复选框。,,
edw_01notDeleteNode,Elements dialog warnings (edw),"Instead, please choose other concepts.",Bitte w?hlen Sie stattdessen andere Konzepte.,Veuillez sélectionner d'autres concepts à la place.,"En cambio, por favor elíja conceptos diferentes.",作为替代，请选择其他概念。,,
edw_02notDeleteNode,Elements dialog warnings (edw),You cannot delete predefined concepts.,Sie k?nnen keine vordefinierten Konzepte l?schen.,Vous ne pouvez pas supprimer les concepts prédéfinis.,No se pueden borrar los conceptos predefinidos.,您不能删除预定义概念。,,
edw_01notDeleteConnector,Elements dialog warnings (edw),"Instead, please choose other connectors.",Bitte w?hlen Sie stattdessen andere Verbindungen.,Veuillez choisir d'autres connexions à la place.,"En cambio, por favor elíja coneciones diferentes.",作为替代，请选择其他联系。,,
edw_02notDeleteConnector,Elements dialog warnings (edw),You cannot delete predefined connectors.,Sie k?nnen keine vordefinierten Verbindungen l?schen.,Vous ne pouvez pas supprimer des connexions prédéfinies.,No se pueden borrar las coneciones predefinidos.,您不能删除预定义联系。,,
confirmSaving_01_title,Elements confirm saving CAM,Confirm Saving,Speichern best?tigen,Confirmer la sauvegarde,Confirmar guardar,确认保存,,
confirmSaving_02_text,Elements confirm saving CAM,"Please confirm by pressing  ""Yes"" that you want to save your Cognitive-Affective Map. You will be redirected to the next part of the study and you will <b>not</b> be able to change your Cognitive-Affective Map anymore. ","Bitte best?tigen Sie mit einem Klick auf ""Ja"", dass Sie die Cognitive-Affective Map speichern wollen. Sie werden zum n?chsten Teil der Studie weitergeleitet und k?nnen Ihre Cognitive-Affective Map <b>nicht</b> mehr ver?ndern.","Veuillez confirmer en appuyant sur ""Oui"" que vous souhaitez sauvegarder votre carte cognitivo-affective. Vous serez redirigé vers la partie suivante de l'étude et vous ne pourrez plus modifier votre Cognitive Affective Map. ","Por favor confirme con un clic en ""Sí""que desea guardar el Cognitive-Affective Map. En este caso, usted será llevado a la siguiente parte de la sesión y ya <b>no</b> mas podrá cambiar su Cognitive-Affective Map..",请通过点击“是”确认您想要保存您的 Cognitive-Affective Map。您将会被引导到研究的下一部分同时您将<b>不</b>能再更改您的 Cognitive-Affective Map。,,
confirmDeleting_01text,Elements confirm deleting CAM,Do you really want to delete your CAM? No data will be saved on the server.,M?chten Sie Ihre CAM wirklich l?schen? In diesem Fall werden keine Daten auf dem Server gespeichert.,Voulez-vous vraiment supprimer votre CAM ? Aucune donnée ne sera sauvegardée sur le serveur.,Desea usted borrar su CAM? En este caso no se guardarán datos en el servidor.,您是否确定想要删除您的CAM？将没有数据会被保存到服务器。,,
confirmDeleting_02message,Elements confirm deleting CAM,You CAM has been deleted. No data will be saved on the server. Default CAM has been restored.,Ihre CAM wurde gel?scht. Es werden keine Daten auf dem Server gespeichert. Die voreingestellte CAM wurde wiederhergestellt.,Votre CAM a été supprimée. Aucune donnée ne sera sauvegardée sur le serveur. La CAM par défaut a été restaurée.,Su CAM ha sido borrado. No se han guardado datos en el servidor. El CAM predefinido ha sido restaurado.,您的CAM已被删除。将没有数据会被保存到服务器。默认CAM已被恢复。,,
yesButton,yes Button,Yes,Ja,Oui,Sí,是,,
noButton,no Button,No,Nein,Non,No,否,,
closeButton,close Button,Close,Schlie?en,Fermer,Cerrar,关闭,,
continueButtonFullscreen,continue Button (fullscreen),click to continue,zum Fortfahren klicken,cliquer pour continuer,haga clic para continuar,点击以继续,,
