CAM	participantCAM	id	text	value	comment	date	x_pos	y_pos	isDraggable	isDeletable	isTextChangeable	isActive	text_summarized
1536	ID5_1536	23947	Passives Erlebnis	10	NA		931	231	NA	NA	NA	NA	Passives Erlebnis
1536	ID5_1536	23946	Zeit	10	NA		470	442	NA	NA	NA	NA	Zeit
1536	ID5_1536	23945	Gebunden	-1	NA		646	68	NA	NA	NA	NA	Gebundenheit_negative
1536	ID5_1536	23944	Stau	10	NA		390	544	NA	NA	NA	NA	Stau_ambivalent
1536	ID5_1536	23943	Schnell, Direkt	10	NA		786	20	NA	NA	NA	NA	Schnell, Direkt
1536	ID5_1536	23942	Eigen Verantwortung	10	NA		20	544	NA	NA	NA	NA	Eigenverantwortung_ambivalent
1536	ID5_1536	23941	Ruecksichtnahme	10	NA		792	547	NA	NA	NA	NA	Ruecksichtnahme
1536	ID5_1536	23940	Sitzplatz	10	NA		622	544	NA	NA	NA	NA	Sitzplatz
1536	ID5_1536	23939	Sitzplatz	1	NA	12:53:22	20	440	NA	NA	NA	NA	Sitzplatz
1536	ID5_1536	23938	Mitmenschen	10	NA	12:52:49	676	419	NA	NA	NA	NA	Andere Menschen_ambivalent
1536	ID5_1536	23937	Keine nervigen Mitmenschen	1	NA		80	20	NA	NA	NA	NA	Keine nervigen Mitmenschen
1536	ID5_1536	23936	Buch lesen, schlafen	1	NA		924	404	NA	NA	NA	NA	Buch lesen, schlafen
1536	ID5_1536	23935	Zeit zum Abschalten	1	NA		860	299	NA	NA	NA	NA	Zeit zum Abschalten
1536	ID5_1536	23934	Kosten	10	NA	12:50:36	480	153	NA	NA	NA	NA	Kosten_ambivalent
1536	ID5_1536	23933	Zeit Intensiv	-1	NA		866	135	NA	NA	NA	NA	Zeit Intensiv
1536	ID5_1536	23932	Zeit sparend	1	NA	12:49:42	61	225	NA	NA	NA	NA	zeitsparend_positive
1536	ID5_1536	23931	Bequem	1	NA		727	205	NA	NA	NA	NA	bequem_positive
1536	ID5_1536	23928	Erfordert Aufmerksamkeit	10	NA	12:46:43	242	456	NA	NA	NA	NA	Erfordert Aufmerksamkeit
1536	ID5_1536	23930	Eigen Kontrolle	1	NA		150	345	NA	NA	NA	NA	Eigen Kontrolle
1536	ID5_1536	23929	Risiken	-2	NA		199	544	NA	NA	NA	NA	Risiken
1536	ID5_1536	23927	Freiheit	1	NA		63	119	NA	NA	NA	NA	Freiheit_positive
1536	ID5_1536	23926	Ungebunden	1	NA		238	87	NA	NA	NA	NA	Gebundenheit_positive
1536	ID5_1536	23925	Bequem	1	NA		242	184	NA	NA	NA	NA	bequem_positive
1536	ID5_1536	23924	Offentliche Verkehrsmittel	0	NA		607	295	NA	NA	NA	NA	Öffentliche Verkehrsmittel_neutral
1536	ID5_1536	23923	Eigner PKW	0	NA		314	298	NA	NA	NA	NA	Eigener Pkw_neutral
1537	ID5t2_1537	23975	Umweltschonend	10	NA	13:14:23	476	20	NA	NA	NA	NA	umweltschonend_ambivalent
1537	ID5t2_1537	23974	Eigner PKW	0	NA		314	298	NA	NA	NA	NA	Eigener Pkw_neutral
1537	ID5t2_1537	23973	Offentliche Verkehrsmittel	0	NA		607	295	NA	NA	NA	NA	Öffentliche Verkehrsmittel_neutral
1537	ID5t2_1537	23972	Bequem	1	NA		242	184	NA	NA	NA	NA	bequem_positive
1537	ID5t2_1537	23971	Ungebunden	1	NA		238	87	NA	NA	NA	NA	Gebundenheit_positive
1537	ID5t2_1537	23970	Freiheit	1	NA		63	119	NA	NA	NA	NA	Freiheit_positive
1537	ID5t2_1537	23969	Risiken	-2	NA		199	544	NA	NA	NA	NA	Risiken
1537	ID5t2_1537	23968	Eigen Kontrolle	1	NA		150	345	NA	NA	NA	NA	Eigen Kontrolle
1537	ID5t2_1537	23967	Erfordert Aufmerksamkeit	10	NA	12:46:43	242	456	NA	NA	NA	NA	Erfordert Aufmerksamkeit
1537	ID5t2_1537	23966	Bequem	1	NA		727	205	NA	NA	NA	NA	bequem_positive
1537	ID5t2_1537	23965	Zeit sparend	1	NA	12:49:42	61	225	NA	NA	NA	NA	zeitsparend_positive
1537	ID5t2_1537	23964	Zeit Intensiv	-1	NA		866	135	NA	NA	NA	NA	Zeit Intensiv
1537	ID5t2_1537	23963	Kosten	10	NA	12:50:36	480	153	NA	NA	NA	NA	Kosten_ambivalent
1537	ID5t2_1537	23962	Zeit zum Abschalten	1	NA		860	299	NA	NA	NA	NA	Zeit zum Abschalten
1537	ID5t2_1537	23961	Buch lesen, schlafen	1	NA		924	404	NA	NA	NA	NA	Buch lesen, schlafen
1537	ID5t2_1537	23960	Keine nervigen Mitmenschen	1	NA		80	20	NA	NA	NA	NA	Keine nervigen Mitmenschen
1537	ID5t2_1537	23959	Mitmenschen	10	NA	12:52:49	676	419	NA	NA	NA	NA	Andere Menschen_ambivalent
1537	ID5t2_1537	23958	Sitzplatz	1	NA	12:53:22	20	440	NA	NA	NA	NA	Sitzplatz
1537	ID5t2_1537	23957	Sitzplatz	10	NA		622	544	NA	NA	NA	NA	Sitzplatz
1537	ID5t2_1537	23956	Ruecksichtnahme	10	NA		792	547	NA	NA	NA	NA	Ruecksichtnahme
1537	ID5t2_1537	23955	Eigen Verantwortung	10	NA		20	544	NA	NA	NA	NA	Eigenverantwortung_ambivalent
1537	ID5t2_1537	23954	Schnell, Direkt	10	NA		786	20	NA	NA	NA	NA	Schnell, Direkt
1537	ID5t2_1537	23953	Stau	10	NA		390	544	NA	NA	NA	NA	Stau_ambivalent
1537	ID5t2_1537	23952	Gebunden	-1	NA		646	68	NA	NA	NA	NA	Gebundenheit_negative
1537	ID5t2_1537	23951	Zeit	10	NA		470	442	NA	NA	NA	NA	Zeit
1537	ID5t2_1537	23950	Passives Erlebnis	10	NA		931	231	NA	NA	NA	NA	Passives Erlebnis
1540	ID7_1540	24018	umweltbelastender	-1	NA	19:59:47	412	526	NA	NA	NA	NA	umweltbelastender
1540	ID7_1540	24017	Vorteilhaft in Großstädten	1	NA	19:59:17	670	48	NA	NA	NA	NA	Vorteilhaft in Großstädten
1540	ID7_1540	24016	Vorrausplanung nötig	-1	NA		982	22	NA	NA	NA	NA	Vorrausplanung nötig
1540	ID7_1540	24015	spontan	1	NA		252	-6	NA	NA	NA	NA	spontan
1540	ID7_1540	24014	schlechtes Wetter	-1	NA	19:55:36	1658	284	NA	NA	NA	NA	schlechtes Wetter_negative
1540	ID7_1540	24013	Transportmöglichkeit	1	NA	19:52:33	366	88	NA	NA	NA	NA	Transportmöglichkeit
1540	ID7_1540	24012	Umweltfreundlich	1	NA	19:54:27	1130	630	NA	NA	NA	NA	umweltfreundlich_positive
1540	ID7_1540	24011	Kostengünstig	1	NA	19:54:11	1344	516	NA	NA	NA	NA	Kostengünstig
1540	ID7_1540	24010	Anbindung nicht immer gegeben	-1	NA	19:54:39	828	698	NA	NA	NA	NA	Anbindung nicht immer gegeben
1540	ID7_1540	24009	Anschaffungskosten	-1	NA	19:51:09	12	364	NA	NA	NA	NA	Kosten_negative
1540	ID7_1540	24008	Verschleiß	-1	NA	19:51:24	254	649	NA	NA	NA	NA	Verschleiß
1540	ID7_1540	24006	laufende Kosten	-1	NA	19:51:20	9.00002	611	NA	NA	NA	NA	Kosten_negative
1540	ID7_1540	24005	Kostenintesiver	-2	NA	19:51:16	124	487	NA	NA	NA	NA	Kostenintesiver
1540	ID7_1540	24004	flexibel	3	NA	19:50:51	47	20	NA	NA	NA	NA	flexibel_positive
1540	ID7_1540	24002	schneller	3	NA	19:50:58	39	144	NA	NA	NA	NA	schnell _positive
1540	ID7_1540	24001	Wartezeiten	-1	NA	19:54:00	1358	320	NA	NA	NA	NA	Wartezeiten_negative
1540	ID7_1540	23999	abhängig	-3	NA	19:53:55	1344	128	NA	NA	NA	NA	Unabhängigkeit_negative
1540	ID7_1540	23998	Bahn	0	NA		1022	217	NA	NA	NA	NA	Bahn
1540	ID7_1540	23996	Bus	0	NA		1031	473	NA	NA	NA	NA	Bus
1540	ID7_1540	23995	Eigener Pkw	0	NA		273	345	NA	NA	NA	NA	Eigener Pkw_neutral
1540	ID7_1540	23994	Öffentliche Verkehrsmittel	0	NA		574	346	NA	NA	NA	NA	Öffentliche Verkehrsmittel_neutral
1544	ID7t2_1544	24047	Öffentliche Verkehrsmittel	0	NA		574	346	NA	NA	NA	NA	Öffentliche Verkehrsmittel_neutral
1544	ID7t2_1544	24046	Eigener Pkw	0	NA		273	345	NA	NA	NA	NA	Eigener Pkw_neutral
1544	ID7t2_1544	24045	Bus	0	NA		1031	473	NA	NA	NA	NA	Bus
1544	ID7t2_1544	24044	Bahn	0	NA		1022	217	NA	NA	NA	NA	Bahn
1544	ID7t2_1544	24043	abhängig	-3	NA	19:53:55	1344	128	NA	NA	NA	NA	Unabhängigkeit_negative
1544	ID7t2_1544	24042	Wartezeiten	-1	NA	19:54:00	1358	320	NA	NA	NA	NA	Wartezeiten_negative
1544	ID7t2_1544	24041	schneller	3	NA	19:50:58	39	144	NA	NA	NA	NA	schnell _positive
1544	ID7t2_1544	24040	flexibel	3	NA	19:50:51	47	20	NA	NA	NA	NA	flexibel_positive
1544	ID7t2_1544	24039	Kostenintesiver	-2	NA	19:51:16	124	487	NA	NA	NA	NA	Kostenintesiver
1544	ID7t2_1544	24038	laufende Kosten	-1	NA	19:51:20	9.00002	611	NA	NA	NA	NA	Kosten_negative
1544	ID7t2_1544	24037	Verschleiß	-1	NA	19:51:24	254	649	NA	NA	NA	NA	Verschleiß
1544	ID7t2_1544	24036	Anschaffungskosten	-1	NA	19:51:09	12	364	NA	NA	NA	NA	Kosten_negative
1544	ID7t2_1544	24035	Anbindung nicht immer gegeben	-1	NA	19:54:39	828	698	NA	NA	NA	NA	Anbindung nicht immer gegeben
1544	ID7t2_1544	24034	Kostengünstig	1	NA	19:54:11	1344	516	NA	NA	NA	NA	Kostengünstig
1544	ID7t2_1544	24033	Umweltfreundlich	1	NA	19:54:27	1130	630	NA	NA	NA	NA	umweltfreundlich_positive
1544	ID7t2_1544	24032	Transportmöglichkeit	1	NA	19:52:33	366	88	NA	NA	NA	NA	Transportmöglichkeit
1544	ID7t2_1544	24031	schlechtes Wetter	-1	NA	19:55:36	1658	284	NA	NA	NA	NA	schlechtes Wetter_negative
1544	ID7t2_1544	24030	spontan	1	NA		252	-6	NA	NA	NA	NA	spontan
1544	ID7t2_1544	24029	Vorrausplanung nötig	-1	NA		982	22	NA	NA	NA	NA	Vorrausplanung nötig
1544	ID7t2_1544	24028	Vorteilhaft in Großstädten	1	NA	19:59:17	670	48	NA	NA	NA	NA	Vorteilhaft in Großstädten
1544	ID7t2_1544	24027	umweltbelastender	-1	NA	19:59:47	412	526	NA	NA	NA	NA	umweltbelastender
1549	ID8_1549	24267	Geringe Co2 Preise	0	NA	20:57:44	1091	188	NA	NA	NA	NA	Geringe Co2 Preise
1549	ID8_1549	24266	Hohe Co2 Preise	-1	NA	20:57:33	1090	318	NA	NA	NA	NA	Hohe Co2 Preise
1549	ID8_1549	24165	Privat	3	NA		413	544	NA	NA	NA	NA	privat_positive
1549	ID8_1549	24160	Entspannt	3	NA	20:32:38	895	414	NA	NA	NA	NA	entspannen_positive
1549	ID8_1549	24153	Schnell	2	NA		654	544	NA	NA	NA	NA	schnell _positive
1549	ID8_1549	24156	Einfach	1	NA	20:32:18	894	544	NA	NA	NA	NA	einfach_positive
1549	ID8_1549	24141	Auf Dauer teuer	-1	NA	20:29:12	892	38	NA	NA	NA	NA	Auf Dauer teuer
1549	ID8_1549	24137	Überfüllt	-2	NA	20:27:28	415	88	NA	NA	NA	NA	überfüllt_negative
1549	ID8_1549	24127	Resourcen schonend	3	NA	20:25:34	904	279	NA	NA	NA	NA	resourcenschonend_positive
1549	ID8_1549	24130	Effektiv	1	NA		415	422	NA	NA	NA	NA	Effektiv
1549	ID8_1549	24123	Umständlich	-1	NA		903	158	NA	NA	NA	NA	umständlich_negative
1549	ID8_1549	24121	Gemeinschaftlich	0	NA	20:23:55	415	262	NA	NA	NA	NA	Gemeinschaftlich
1549	ID8_1549	24120	Haltstellen	-1	NA		659	160	NA	NA	NA	NA	Haltstellen
1549	ID8_1549	24116	Wartezeiten	-3	NA		664	37	NA	NA	NA	NA	Wartezeiten_negative
1549	ID8_1549	24113	Eigener PKW	0	NA	20:31:26	654	418	NA	NA	NA	NA	Eigener Pkw_neutral
1549	ID8_1549	24106	Öffentliche Verkehrsmittel	10	NA		657	286	NA	NA	NA	NA	Öffentliche Verkehrsmittel_ambivalent
1549r	ID8t2_1549	24267	Geringe Co2 Preise	0	NA	20:57:44	1091	188	NA	NA	NA	NA	Geringe Co2 Preise
1549r	ID8t2_1549	24266	Hohe Co2 Preise	-1	NA	20:57:33	1090	318	NA	NA	NA	NA	Hohe Co2 Preise
1549r	ID8t2_1549	24165	Privat	3	NA		413	544	NA	NA	NA	NA	privat_positive
1549r	ID8t2_1549	24160	Entspannt	3	NA	20:32:38	895	414	NA	NA	NA	NA	entspannen_positive
1549r	ID8t2_1549	24153	Schnell	2	NA		654	544	NA	NA	NA	NA	schnell _positive
1549r	ID8t2_1549	24156	Einfach	1	NA	20:32:18	894	544	NA	NA	NA	NA	einfach_positive
1549r	ID8t2_1549	24141	Auf Dauer teuer	-1	NA	20:29:12	892	38	NA	NA	NA	NA	Auf Dauer teuer
1549r	ID8t2_1549	24137	Überfüllt	-2	NA	20:27:28	415	88	NA	NA	NA	NA	überfüllt_negative
1549r	ID8t2_1549	24127	Resourcen schonend	3	NA	20:25:34	904	279	NA	NA	NA	NA	resourcenschonend_positive
1549r	ID8t2_1549	24130	Effektiv	1	NA		415	422	NA	NA	NA	NA	Effektiv
1549r	ID8t2_1549	24123	Umständlich	-1	NA		903	158	NA	NA	NA	NA	umständlich_negative
1549r	ID8t2_1549	24121	Gemeinschaftlich	0	NA	20:23:55	415	262	NA	NA	NA	NA	Gemeinschaftlich
1549r	ID8t2_1549	24120	Haltstellen	-1	NA		659	160	NA	NA	NA	NA	Haltstellen
1549r	ID8t2_1549	24116	Wartezeiten	-3	NA		664	37	NA	NA	NA	NA	Wartezeiten_negative
1549r	ID8t2_1549	24113	Eigener PKW	0	NA	20:31:26	654	418	NA	NA	NA	NA	Eigener Pkw_neutral
1549r	ID8t2_1549	24106	Öffentliche Verkehrsmittel	10	NA		657	286	NA	NA	NA	NA	Öffentliche Verkehrsmittel_ambivalent
1545	ID9_1545	24053	Spritverbrauch	-3	NA	20:12:30	21	259	NA	NA	NA	NA	Benzin_negative
1545	ID9_1545	24068	Gedanken nachhängen	1	NA		606	570	NA	NA	NA	NA	Gedanken nachhängen
1545	ID9_1545	24052	Ungestört	2	NA	20:12:04	334	84	NA	NA	NA	NA	Ungestört
1545	ID9_1545	24055	Aufmerksamkeit	0	NA		421	483	NA	NA	NA	NA	Aufmerksamkeit
1545	ID9_1545	24078	Stau	-1	NA		178	176	NA	NA	NA	NA	Stau_negative
1545	ID9_1545	24077	Verspätungen	-1	NA		787	136	NA	NA	NA	NA	Verspätung_negative
1545	ID9_1545	24072	Preis nur bei vielfahren günstig	-3	NA		787	438	NA	NA	NA	NA	Preis nur bei vielfahren günstig
1545	ID9_1545	24063	Unbeeinflussbare Dauer	-1	NA		767	298	NA	NA	NA	NA	Unbeeinflussbare Dauer
1545	ID9_1545	24058	Fremde	-2	NA		619	174	NA	NA	NA	NA	Fremde
1545	ID9_1545	24057	Ablenkungen	10	NA	20:23:21	423	205.2	NA	NA	NA	NA	Ablenkungen
1545	ID9_1545	24056	Bewusst fahren	1	NA	20:13:52	183	574	NA	NA	NA	NA	Bewusst fahren
1545	ID9_1545	24054	Umwelt negativ gewissen	-3	NA	20:13:01	51	429	NA	NA	NA	NA	Umwelt negativ gewissen
1545	ID9_1545	24051	Eigener Pkw	0	NA		272	345	NA	NA	NA	NA	Eigener Pkw_neutral
1545	ID9_1545	24050	Öffentliche Verkehrsmittel	0	NA		573	346	NA	NA	NA	NA	Öffentliche Verkehrsmittel_neutral
1557	ID9t2_1557	24214	Öffentliche Verkehrsmittel	0	NA		573	346	NA	NA	NA	NA	Öffentliche Verkehrsmittel_neutral
1557	ID9t2_1557	24213	Eigener Pkw	0	NA		272	345	NA	NA	NA	NA	Eigener Pkw_neutral
1557	ID9t2_1557	24212	Umwelt negativ gewissen	-3	NA	20:13:01	51	429	NA	NA	NA	NA	Umwelt negativ gewissen
1557	ID9t2_1557	24211	Bewusst fahren	1	NA	20:13:52	183	574	NA	NA	NA	NA	Bewusst fahren
1557	ID9t2_1557	24210	Ablenkungen	10	NA	20:23:21	423	205.2	NA	NA	NA	NA	Ablenkungen
1557	ID9t2_1557	24209	Fremde	-2	NA		619	174	NA	NA	NA	NA	Fremde
1557	ID9t2_1557	24208	Unbeeinflussbare Dauer	-1	NA		767	298	NA	NA	NA	NA	Unbeeinflussbare Dauer
1557	ID9t2_1557	24207	Preis nur bei vielfahren günstig	-3	NA		787	438	NA	NA	NA	NA	Preis nur bei vielfahren günstig
1557	ID9t2_1557	24206	Verspätungen	-1	NA		787	136	NA	NA	NA	NA	Verspätung_negative
1557	ID9t2_1557	24205	Stau	-1	NA		178	176	NA	NA	NA	NA	Stau_negative
1557	ID9t2_1557	24204	Aufmerksamkeit	0	NA		421	483	NA	NA	NA	NA	Aufmerksamkeit
1557	ID9t2_1557	24203	Ungestört	2	NA	20:12:04	334	84	NA	NA	NA	NA	Ungestört
1557	ID9t2_1557	24202	Gedanken nachhängen	1	NA		606	570	NA	NA	NA	NA	Gedanken nachhängen
