CAM.x	participantCAM.x	id	text	value	comment	date	x_pos	y_pos	isDraggable	isDeletable.x	isTextChangeable	isActive.x	CAM.y	participantCAM.y	id.y	idending	intensity	agreement	isBidirectional	isDeletable.y	isActive.y
1535	ID3t2_1535	23920	Öffentliche Verkehrsmittel	0	NA		574	346	NA	NA	NA	NA	1535	ID3t2_1535	22892	23918	6	1	1	NA	NA
1535	ID3t2_1535	23920	Öffentliche Verkehrsmittel	0	NA		574	346	NA	NA	NA	NA	1535	ID3t2_1535	22891	23912	9	1	0	NA	NA
1535	ID3t2_1535	23919	Eigener Pkw	0	NA		273	345	NA	NA	NA	NA	1535	ID3t2_1535	22894	23920	6	0	0	NA	NA
1535	ID3t2_1535	23918	Günstig als ein Auto zu versichern	3	NA	11:13:49	552	213	NA	NA	NA	NA	1535	ID3t2_1535	22893	23920	9	1	0	NA	NA
1535	ID3t2_1535	23917	Großer Kundenverkehrt	-3	NA		782	500	NA	NA	NA	NA	1535	ID3t2_1535	22886	23920	6	1	0	NA	NA
1535	ID3t2_1535	23916	Vorgegebene Zeiten	-3	NA		578	508	NA	NA	NA	NA	1535	ID3t2_1535	22887	23920	6	1	0	NA	NA
1535	ID3t2_1535	23914	Angst vor Ansteckung	-3	NA		772	354	NA	NA	NA	NA	1535	ID3t2_1535	22889	23917	9	1	0	NA	NA
1535	ID3t2_1535	23913	Angst vor Gewalt in der Öffentlichkeit	-3	NA		890	418	NA	NA	NA	NA	1535	ID3t2_1535	22890	23917	9	0	0	NA	NA
1535	ID3t2_1535	23911	Teuer durch Versicherung und Benzin, so wie eventuelle Umfälle	-3	NA		239	234	NA	NA	NA	NA	1535	ID3t2_1535	22884	23918	6	0	0	NA	NA
1535	ID3t2_1535	23911	Teuer durch Versicherung und Benzin, so wie eventuelle Umfälle	-3	NA		239	234	NA	NA	NA	NA	1535	ID3t2_1535	22879	23919	6	0	0	NA	NA
1535	ID3t2_1535	23910	Flexibel	3	NA		53	320	NA	NA	NA	NA	1535	ID3t2_1535	22885	23919	6	1	0	NA	NA
1535	ID3t2_1535	23909	Bequemer, weil man den Wagen allein nutzt	3	NA		71	432	NA	NA	NA	NA	1535	ID3t2_1535	22881	23919	6	1	0	NA	NA
1535	ID3t2_1535	23907	Tickets werden immer teurer	-3	NA		403	33	NA	NA	NA	NA	1535	ID3t2_1535	22883	23911	9	0	0	NA	NA
1535	ID3t2_1535	23907	Tickets werden immer teurer	-3	NA		403	33	NA	NA	NA	NA	1535	ID3t2_1535	22882	23915	9	1	0	NA	NA
1535	ID3t2_1535	23906	Faulheit und Gewichtszunahme	-3	NA		245	513	NA	NA	NA	NA	1535	ID3t2_1535	22880	23909	6	0	0	NA	NA
1532	ID4_1532	23862	Benzinkosten	-3	NA		54	415	NA	NA	NA	NA	1532	ID4_1532	22832	23850	6	1	0	NA	NA
1532	ID4_1532	23873	abhängig	-1	NA		617	555.533	NA	NA	NA	NA	1532	ID4_1532	22853	23849	6	1	0	NA	NA
1532	ID4_1532	23872	weniger volle Straßen	3	NA		563	129.333	NA	NA	NA	NA	1532	ID4_1532	22843	23871	6	1	0	NA	NA
1532	ID4_1532	23871	umweltfreundlich	3	NA		792	350	NA	NA	NA	NA	1532	ID4_1532	22842	23849	6	1	0	NA	NA
1532	ID4_1532	23870	soziale Konkte	3	NA		410	455.933	NA	NA	NA	NA	1532	ID4_1532	22850	23849	6	1	0	NA	NA
1532	ID4_1532	23870	soziale Konkte	3	NA		410	455.933	NA	NA	NA	NA	1532	ID4_1532	22849	23850	6	1	0	NA	NA
1532	ID4_1532	23869	nutzbare Fahrzeit	3	NA	11:14:32	747	448.267	NA	NA	NA	NA	1532	ID4_1532	22852	23849	6	1	0	NA	NA
1532	ID4_1532	23867	Privatsphäre	2	NA		401	229	NA	NA	NA	NA	1532	ID4_1532	22848	23850	6	1	0	NA	NA
1532	ID4_1532	23866	Versicherungskosten	-3	NA		263	571	NA	NA	NA	NA	1532	ID4_1532	22833	23850	6	1	0	NA	NA
1532	ID4_1532	23866	Versicherungskosten	-3	NA		263	571	NA	NA	NA	NA	1532	ID4_1532	22829	23862	6	1	0	NA	NA
1532	ID4_1532	23864	teurer Anschaffungspreis	-3	NA	11:11:43	20	214	NA	NA	NA	NA	1532	ID4_1532	22831	23850	6	1	0	NA	NA
1532	ID4_1532	23864	teurer Anschaffungspreis	-3	NA	11:11:43	20	214	NA	NA	NA	NA	1532	ID4_1532	22828	23862	6	1	0	NA	NA
1532	ID4_1532	23855	freie Zeiteinteilung	3	NA	11:09:46	122	115	NA	NA	NA	NA	1532	ID4_1532	22845	23850	6	1	0	NA	NA
1532	ID4_1532	23853	Komfort	2	NA		305	127	NA	NA	NA	NA	1532	ID4_1532	22847	23850	6	1	0	NA	NA
1532	ID4_1532	23850	Eigener Pkw	0	NA		273	345.6	NA	NA	NA	NA	1532	ID4_1532	22809	23849	6	0	0	NA	NA
1534	ID4t2_1534	23922	Transportmöglichkeit	1	NA	11:30:58	40	68.2	NA	NA	NA	NA	1534	ID4t2_1534	22896	23904	6	1	0	NA	NA
1534	ID4t2_1534	23921	umweltschädlich	-3	NA	11:29:57	305	35	NA	NA	NA	NA	1534	ID4t2_1534	22895	23904	6	1	0	NA	NA
1534	ID4t2_1534	23904	Eigener Pkw	0	NA		273	346	NA	NA	NA	NA	1534	ID4t2_1534	22878	23905	6	0	0	NA	NA
1534	ID4t2_1534	23903	Komfort	2	NA		385	149.6	NA	NA	NA	NA	1534	ID4t2_1534	22869	23904	6	1	0	NA	NA
1534	ID4t2_1534	23902	freie Zeiteinteilung	3	NA	11:09:46	204	117.2	NA	NA	NA	NA	1534	ID4t2_1534	22870	23904	6	1	0	NA	NA
1534	ID4t2_1534	23901	teurer Anschaffungspreis	-3	NA	11:11:43	20	185.2	NA	NA	NA	NA	1534	ID4t2_1534	22877	23892	6	1	0	NA	NA
1534	ID4t2_1534	23901	teurer Anschaffungspreis	-3	NA	11:11:43	20	185.2	NA	NA	NA	NA	1534	ID4t2_1534	22875	23904	6	1	0	NA	NA
1534	ID4t2_1534	23900	Versicherungskosten	-3	NA		263	571	NA	NA	NA	NA	1534	ID4t2_1534	22876	23892	6	1	0	NA	NA
1534	ID4t2_1534	23900	Versicherungskosten	-3	NA		263	571	NA	NA	NA	NA	1534	ID4t2_1534	22873	23904	6	1	0	NA	NA
1534	ID4t2_1534	23899	Privatsphäre	2	NA		438	242.6	NA	NA	NA	NA	1534	ID4t2_1534	22868	23904	6	1	0	NA	NA
1534	ID4t2_1534	23897	nutzbare Fahrzeit	3	NA	11:14:32	747	448.267	NA	NA	NA	NA	1534	ID4t2_1534	22865	23905	6	1	0	NA	NA
1534	ID4t2_1534	23896	soziale Konkte	3	NA		410	455.933	NA	NA	NA	NA	1534	ID4t2_1534	22867	23904	6	1	0	NA	NA
1534	ID4t2_1534	23896	soziale Konkte	3	NA		410	455.933	NA	NA	NA	NA	1534	ID4t2_1534	22866	23905	6	1	0	NA	NA
1534	ID4t2_1534	23895	umweltfreundlich	3	NA		792	350	NA	NA	NA	NA	1534	ID4t2_1534	22872	23905	6	1	0	NA	NA
1534	ID4t2_1534	23894	weniger volle Straßen	3	NA		563	129.333	NA	NA	NA	NA	1534	ID4t2_1534	22871	23895	6	1	0	NA	NA
1534	ID4t2_1534	23893	abhängig	-1	NA		617	555.533	NA	NA	NA	NA	1534	ID4t2_1534	22864	23905	6	1	0	NA	NA
1534	ID4t2_1534	23892	Benzinkosten	-3	NA		54	415	NA	NA	NA	NA	1534	ID4t2_1534	22874	23904	6	1	0	NA	NA
1536	ID5_1536	23947	Passives Erlebnis	10	NA		931	231	NA	NA	NA	NA	1536	ID5_1536	22942	23924	6	1	0	NA	NA
1536	ID5_1536	23947	Passives Erlebnis	10	NA		931	231	NA	NA	NA	NA	1536	ID5_1536	22941	23931	6	1	0	NA	NA
1536	ID5_1536	23946	Zeit	10	NA		470	442	NA	NA	NA	NA	1536	ID5_1536	22940	23924	6	1	0	NA	NA
1536	ID5_1536	23946	Zeit	10	NA		470	442	NA	NA	NA	NA	1536	ID5_1536	22939	23923	6	1	0	NA	NA
1536	ID5_1536	23945	Gebunden	-1	NA		646	68	NA	NA	NA	NA	1536	ID5_1536	22938	23943	6	0	0	NA	NA
1536	ID5_1536	23945	Gebunden	-1	NA		646	68	NA	NA	NA	NA	1536	ID5_1536	22937	23931	6	0	0	NA	NA
1536	ID5_1536	23945	Gebunden	-1	NA		646	68	NA	NA	NA	NA	1536	ID5_1536	22935	23924	6	0	0	NA	NA
1536	ID5_1536	23944	Stau	10	NA		390	544	NA	NA	NA	NA	1536	ID5_1536	22932	23929	6	1	0	NA	NA
1536	ID5_1536	23943	Schnell, Direkt	10	NA		786	20	NA	NA	NA	NA	1536	ID5_1536	22931	23931	6	1	0	NA	NA
1536	ID5_1536	23943	Schnell, Direkt	10	NA		786	20	NA	NA	NA	NA	1536	ID5_1536	22930	23933	6	0	0	NA	NA
1536	ID5_1536	23942	Eigen Verantwortung	10	NA		20	544	NA	NA	NA	NA	1536	ID5_1536	22929	23929	6	0	0	NA	NA
1536	ID5_1536	23942	Eigen Verantwortung	10	NA		20	544	NA	NA	NA	NA	1536	ID5_1536	22927	23930	6	1	0	NA	NA
1536	ID5_1536	23941	Ruecksichtnahme	10	NA		792	547	NA	NA	NA	NA	1536	ID5_1536	22923	23940	6	1	0	NA	NA
1536	ID5_1536	23941	Ruecksichtnahme	10	NA		792	547	NA	NA	NA	NA	1536	ID5_1536	22921	23938	6	1	0	NA	NA
1536	ID5_1536	23940	Sitzplatz	10	NA		622	544	NA	NA	NA	NA	1536	ID5_1536	22922	23938	6	0	0	NA	NA
1536	ID5_1536	23939	Sitzplatz	1	NA	12:53:22	20	440	NA	NA	NA	NA	1536	ID5_1536	22919	23927	6	1	0	NA	NA
1536	ID5_1536	23939	Sitzplatz	1	NA	12:53:22	20	440	NA	NA	NA	NA	1536	ID5_1536	22917	23930	6	1	0	NA	NA
1536	ID5_1536	23938	Mitmenschen	10	NA	12:52:49	676	419	NA	NA	NA	NA	1536	ID5_1536	22916	23924	6	0	0	NA	NA
1536	ID5_1536	23937	Keine nervigen Mitmenschen	1	NA		80	20	NA	NA	NA	NA	1536	ID5_1536	22915	23927	6	1	0	NA	NA
1536	ID5_1536	23936	Buch lesen, schlafen	1	NA		924	404	NA	NA	NA	NA	1536	ID5_1536	22914	23935	6	1	0	NA	NA
1536	ID5_1536	23935	Zeit zum Abschalten	1	NA		860	299	NA	NA	NA	NA	1536	ID5_1536	22943	23931	6	1	0	NA	NA
1536	ID5_1536	23934	Kosten	10	NA	12:50:36	480	153	NA	NA	NA	NA	1536	ID5_1536	22909	23924	6	1	0	NA	NA
1536	ID5_1536	23934	Kosten	10	NA	12:50:36	480	153	NA	NA	NA	NA	1536	ID5_1536	22908	23923	6	1	0	NA	NA
1536	ID5_1536	23933	Zeit Intensiv	-1	NA		866	135	NA	NA	NA	NA	1536	ID5_1536	22911	23931	6	0	0	NA	NA
1536	ID5_1536	23932	Zeit sparend	1	NA	12:49:42	61	225	NA	NA	NA	NA	1536	ID5_1536	22907	23930	6	1	0	NA	NA
1536	ID5_1536	23932	Zeit sparend	1	NA	12:49:42	61	225	NA	NA	NA	NA	1536	ID5_1536	22906	23925	6	1	0	NA	NA
1536	ID5_1536	23931	Bequem	1	NA		727	205	NA	NA	NA	NA	1536	ID5_1536	22944	23935	6	1	0	NA	NA
1536	ID5_1536	23931	Bequem	1	NA		727	205	NA	NA	NA	NA	1536	ID5_1536	22910	23924	6	1	0	NA	NA
1536	ID5_1536	23930	Eigen Kontrolle	1	NA		150	345	NA	NA	NA	NA	1536	ID5_1536	22928	23929	6	0	0	NA	NA
1536	ID5_1536	23930	Eigen Kontrolle	1	NA		150	345	NA	NA	NA	NA	1536	ID5_1536	22918	23927	6	1	0	NA	NA
1536	ID5_1536	23930	Eigen Kontrolle	1	NA		150	345	NA	NA	NA	NA	1536	ID5_1536	22905	23928	6	1	0	NA	NA
1536	ID5_1536	23930	Eigen Kontrolle	1	NA		150	345	NA	NA	NA	NA	1536	ID5_1536	22902	23923	6	1	0	NA	NA
1536	ID5_1536	23927	Freiheit	1	NA		63	119	NA	NA	NA	NA	1536	ID5_1536	22934	23926	6	1	0	NA	NA
1536	ID5_1536	23926	Ungebunden	1	NA		238	87	NA	NA	NA	NA	1536	ID5_1536	22899	23925	6	1	0	NA	NA
1536	ID5_1536	23925	Bequem	1	NA		242	184	NA	NA	NA	NA	1536	ID5_1536	22898	23923	6	1	0	NA	NA
1536	ID5_1536	23924	Offentliche Verkehrsmittel	0	NA		607	295	NA	NA	NA	NA	1536	ID5_1536	22897	23923	6	0	0	NA	NA
1536	ID5_1536	23926	Ungebunden	1	NA		238	87	NA	NA	NA	NA	1536	ID5_1536	22900	23927	6	1	1	NA	NA
1537	ID5t2_1537	23975	Umweltschonend	10	NA	13:14:23	476	20	NA	NA	NA	NA	1537	ID5t2_1537	22993	23973	6	1	1	NA	NA
1537	ID5t2_1537	23975	Umweltschonend	10	NA	13:14:23	476	20	NA	NA	NA	NA	1537	ID5t2_1537	22991	23974	6	1	1	NA	NA
1537	ID5t2_1537	23973	Offentliche Verkehrsmittel	0	NA		607	295	NA	NA	NA	NA	1537	ID5t2_1537	22992	23975	6	1	1	NA	NA
1537	ID5t2_1537	23973	Offentliche Verkehrsmittel	0	NA		607	295	NA	NA	NA	NA	1537	ID5t2_1537	22990	23974	6	0	0	NA	NA
1537	ID5t2_1537	23972	Bequem	1	NA		242	184	NA	NA	NA	NA	1537	ID5t2_1537	22989	23974	6	1	0	NA	NA
1537	ID5t2_1537	23971	Ungebunden	1	NA		238	87	NA	NA	NA	NA	1537	ID5t2_1537	22988	23972	6	1	0	NA	NA
1537	ID5t2_1537	23970	Freiheit	1	NA		63	119	NA	NA	NA	NA	1537	ID5t2_1537	22987	23971	6	1	1	NA	NA
1537	ID5t2_1537	23968	Eigen Kontrolle	1	NA		150	345	NA	NA	NA	NA	1537	ID5t2_1537	22985	23974	6	1	0	NA	NA
1537	ID5t2_1537	23968	Eigen Kontrolle	1	NA		150	345	NA	NA	NA	NA	1537	ID5t2_1537	22984	23969	6	0	0	NA	NA
1537	ID5t2_1537	23968	Eigen Kontrolle	1	NA		150	345	NA	NA	NA	NA	1537	ID5t2_1537	22983	23967	6	1	0	NA	NA
1537	ID5t2_1537	23968	Eigen Kontrolle	1	NA		150	345	NA	NA	NA	NA	1537	ID5t2_1537	22970	23970	6	1	0	NA	NA
1537	ID5t2_1537	23966	Bequem	1	NA		727	205	NA	NA	NA	NA	1537	ID5t2_1537	22978	23973	6	1	0	NA	NA
1537	ID5t2_1537	23966	Bequem	1	NA		727	205	NA	NA	NA	NA	1537	ID5t2_1537	22945	23962	6	1	0	NA	NA
1537	ID5t2_1537	23965	Zeit sparend	1	NA	12:49:42	61	225	NA	NA	NA	NA	1537	ID5t2_1537	22982	23972	6	1	0	NA	NA
1537	ID5t2_1537	23965	Zeit sparend	1	NA	12:49:42	61	225	NA	NA	NA	NA	1537	ID5t2_1537	22981	23968	6	1	0	NA	NA
1537	ID5t2_1537	23964	Zeit Intensiv	-1	NA		866	135	NA	NA	NA	NA	1537	ID5t2_1537	22977	23966	6	0	0	NA	NA
1537	ID5t2_1537	23963	Kosten	10	NA	12:50:36	480	153	NA	NA	NA	NA	1537	ID5t2_1537	22980	23974	6	1	0	NA	NA
1537	ID5t2_1537	23963	Kosten	10	NA	12:50:36	480	153	NA	NA	NA	NA	1537	ID5t2_1537	22979	23973	6	1	0	NA	NA
1537	ID5t2_1537	23962	Zeit zum Abschalten	1	NA		860	299	NA	NA	NA	NA	1537	ID5t2_1537	22976	23966	6	1	0	NA	NA
1537	ID5t2_1537	23961	Buch lesen, schlafen	1	NA		924	404	NA	NA	NA	NA	1537	ID5t2_1537	22974	23962	6	1	0	NA	NA
1537	ID5t2_1537	23960	Keine nervigen Mitmenschen	1	NA		80	20	NA	NA	NA	NA	1537	ID5t2_1537	22973	23970	6	1	0	NA	NA
1537	ID5t2_1537	23959	Mitmenschen	10	NA	12:52:49	676	419	NA	NA	NA	NA	1537	ID5t2_1537	22972	23973	6	0	0	NA	NA
1537	ID5t2_1537	23958	Sitzplatz	1	NA	12:53:22	20	440	NA	NA	NA	NA	1537	ID5t2_1537	22971	23968	6	1	0	NA	NA
1537	ID5t2_1537	23958	Sitzplatz	1	NA	12:53:22	20	440	NA	NA	NA	NA	1537	ID5t2_1537	22969	23970	6	1	0	NA	NA
1537	ID5t2_1537	23957	Sitzplatz	10	NA		622	544	NA	NA	NA	NA	1537	ID5t2_1537	22968	23959	6	0	0	NA	NA
1537	ID5t2_1537	23956	Ruecksichtnahme	10	NA		792	547	NA	NA	NA	NA	1537	ID5t2_1537	22967	23959	6	1	0	NA	NA
1537	ID5t2_1537	23956	Ruecksichtnahme	10	NA		792	547	NA	NA	NA	NA	1537	ID5t2_1537	22965	23957	6	1	0	NA	NA
1537	ID5t2_1537	23955	Eigen Verantwortung	10	NA		20	544	NA	NA	NA	NA	1537	ID5t2_1537	22964	23969	6	1	0	NA	NA
1537	ID5t2_1537	23955	Eigen Verantwortung	10	NA		20	544	NA	NA	NA	NA	1537	ID5t2_1537	22963	23968	6	1	0	NA	NA
1537	ID5t2_1537	23954	Schnell, Direkt	10	NA		786	20	NA	NA	NA	NA	1537	ID5t2_1537	22958	23964	6	0	0	NA	NA
1537	ID5t2_1537	23954	Schnell, Direkt	10	NA		786	20	NA	NA	NA	NA	1537	ID5t2_1537	22957	23966	6	1	0	NA	NA
1537	ID5t2_1537	23953	Stau	10	NA		390	544	NA	NA	NA	NA	1537	ID5t2_1537	22956	23969	6	1	0	NA	NA
1537	ID5t2_1537	23952	Gebunden	-1	NA		646	68	NA	NA	NA	NA	1537	ID5t2_1537	22954	23973	6	0	0	NA	NA
1537	ID5t2_1537	23952	Gebunden	-1	NA		646	68	NA	NA	NA	NA	1537	ID5t2_1537	22953	23966	6	1	0	NA	NA
1537	ID5t2_1537	23952	Gebunden	-1	NA		646	68	NA	NA	NA	NA	1537	ID5t2_1537	22951	23954	6	0	0	NA	NA
1537	ID5t2_1537	23951	Zeit	10	NA		470	442	NA	NA	NA	NA	1537	ID5t2_1537	22950	23974	6	1	0	NA	NA
1537	ID5t2_1537	23951	Zeit	10	NA		470	442	NA	NA	NA	NA	1537	ID5t2_1537	22949	23973	6	1	0	NA	NA
1537	ID5t2_1537	23950	Passives Erlebnis	10	NA		931	231	NA	NA	NA	NA	1537	ID5t2_1537	22948	23966	6	1	0	NA	NA
1537	ID5t2_1537	23950	Passives Erlebnis	10	NA		931	231	NA	NA	NA	NA	1537	ID5t2_1537	22947	23973	6	1	0	NA	NA
1537	ID5t2_1537	23974	Eigner PKW	0	NA		314	298	NA	NA	NA	NA	1537	ID5t2_1537	22991	23975	6	1	1	NA	NA
1537	ID5t2_1537	23971	Ungebunden	1	NA		238	87	NA	NA	NA	NA	1537	ID5t2_1537	22987	23970	6	1	1	NA	NA
1540	ID7_1540	24018	umweltbelastender	-1	NA	19:59:47	412	526	NA	NA	NA	NA	1540	ID7_1540	23029	23995	6	1	0	NA	NA
1540	ID7_1540	24017	Vorteilhaft in Großstädten	1	NA	19:59:17	670	48	NA	NA	NA	NA	1540	ID7_1540	23028	23994	6	1	0	NA	NA
1540	ID7_1540	24016	Vorrausplanung nötig	-1	NA		982	22	NA	NA	NA	NA	1540	ID7_1540	23026	23999	6	1	0	NA	NA
1540	ID7_1540	24015	spontan	1	NA		252	-6	NA	NA	NA	NA	1540	ID7_1540	23027	24004	6	1	0	NA	NA
1540	ID7_1540	24014	schlechtes Wetter	-1	NA	19:55:36	1658	284	NA	NA	NA	NA	1540	ID7_1540	23022	24001	6	1	0	NA	NA
1540	ID7_1540	24013	Transportmöglichkeit	1	NA	19:52:33	366	88	NA	NA	NA	NA	1540	ID7_1540	23025	23995	6	1	0	NA	NA
1540	ID7_1540	24012	Umweltfreundlich	1	NA	19:54:27	1130	630	NA	NA	NA	NA	1540	ID7_1540	23021	23998	6	1	0	NA	NA
1540	ID7_1540	24011	Kostengünstig	1	NA	19:54:11	1344	516	NA	NA	NA	NA	1540	ID7_1540	23019	23998	6	1	0	NA	NA
1540	ID7_1540	24011	Kostengünstig	1	NA	19:54:11	1344	516	NA	NA	NA	NA	1540	ID7_1540	23018	23996	6	1	0	NA	NA
1540	ID7_1540	24010	Anbindung nicht immer gegeben	-1	NA	19:54:39	828	698	NA	NA	NA	NA	1540	ID7_1540	23016	23996	6	1	0	NA	NA
